"Time left, Asset, Action, Trader 1, Trader 2, Price, Volume"
3383,1,"Buy",2,22,83.8,1000
3308,1,"Buy",2,34,75,100
3232,1,"Buy",2,21,75,500
3092,1,"Sell",2,39,63,500
2971,1,"Buy",2,16,62,100
2971,1,"Buy",2,22,63.9,400
2897,1,"Sell",2,9,60,500
2790,1,"Buy",2,3,61,100
2790,1,"Buy",2,22,61.9,400
2666,1,"Buy",2,21,58,500
2665,1,"Buy",2,3,60,200
2665,1,"Buy",2,33,60,200
2665,1,"Buy",2,9,61,100
2372,1,"Sell",2,16,38,200
2162,1,"Buy",2,22,37.9,600
2131,1,"Buy",2,39,37,200
2117,1,"Buy",2,22,34.9,27
2117,1,"Buy",2,22,34.9,27
1961,1,"Sell",2,28,35,200
1886,1,"Buy",2,21,34,300
1824,1,"Buy",2,22,33.9,300
1738,1,"Sell",2,39,34,300
1064,1,"Sell",2,22,38.7,200
1057,1,"Sell",2,16,39,100
1057,1,"Sell",2,22,38.7,100
795,1,"Buy",2,33,44,158
795,1,"Buy",2,4,44,442
490,1,"Sell",2,34,44,300
488,1,"Buy",2,34,46,300
488,1,"Buy",2,34,46,300
405,1,"Buy",2,28,50,250
405,1,"Buy",2,10,50,50
316,1,"Buy",2,22,55.9,1000
276,1,"Buy",2,34,60,246
223,1,"Buy",2,33,58,300
158,1,"Buy",2,16,65,300
