Time,midprice
1,121
2,121
3,121
4,61.5
5,61.5
6,61.5
7,61.5
8,61.5
9,61.5
10,61.5
11,61.5
12,61
13,61
14,61
15,61
16,61
17,61
18,61
19,61
20,61
21,61
22,61
23,61
24,61
25,61.5
26,61.5
27,61.5
28,61.5
29,61.5
30,61.5
31,61.5
32,61.5
33,61.5
34,61.5
35,3.5
36,3.5
37,3.5
38,3.5
39,3.5
40,3.5
41,3.5
42,3
43,61.5
44,61.5
45,61.5
46,61.5
47,61.5
48,61.5
49,61.5
50,62
51,62
52,62
53,62
54,75
55,75
56,75
57,75
58,75
59,70
60,70
61,70
62,70
63,70
64,70
65,70
66,70
67,75
68,75
69,75
70,75
71,75
72,75
73,75
74,80
75,80
76,80
77,80
78,80
79,80
80,80
81,80
82,80
83,80
84,80
85,80
86,80
87,80
88,80
89,80
90,80
91,80
92,80
93,80
94,80
95,80
96,80
97,80
98,82.5
99,82.5
100,82.5
101,82.5
102,82.5
103,82.5
104,82.5
105,82.5
106,85
107,84.5
108,84.5
109,84.5
110,87
111,89.5
112,89.5
113,89.5
114,89.5
115,89.5
116,91.5
117,91.5
118,91.5
119,91.5
120,90
121,90
122,90
123,87.5
124,87.5
125,87.5
126,87.5
127,87
128,87
129,89
130,89
131,89
132,89
133,87.5
134,88
135,88
136,88
137,88
138,85.5
139,85.5
140,86
141,85.5
142,85.5
143,85.5
144,85.5
145,85.5
146,86
147,86
148,86
149,86
150,86
151,86
152,86.5
153,86.5
154,86.5
155,86.5
156,86.5
157,86.5
158,86.5
159,86.5
160,86.5
161,87
162,87
163,87
164,87
165,89
166,87.25
167,87.25
168,87.25
169,86.75
170,86.75
171,89
172,85
173,85
174,85
175,84.5
176,84.5
177,84.5
178,85
179,86.5
180,87
181,84
182,84
183,84
184,83.5
185,83.5
186,83.5
187,83.5
188,84
189,85
190,85
191,83.5
192,83.5
193,83.45
194,83
195,83
196,83
197,83
198,83
199,83
200,83
201,84
202,83
203,83
204,83
205,83
206,82.515
207,82.515
208,82.515
209,82.515
210,82.515
211,82.5
212,82.5
213,82.5
214,82.5
215,82.4
216,81
217,84
218,84
219,82
220,82
221,82
222,82
223,81.95
224,81.95
225,81.95
